time_iso8601,clones_total,clones_unique,views_total,views_unique
2022-12-22 00:00:00+00:00,8,7,62,22
2022-12-23 00:00:00+00:00,22,16,316,61
2022-12-24 00:00:00+00:00,5,3,87,31
2022-12-25 00:00:00+00:00,3,3,155,62
2022-12-26 00:00:00+00:00,34,31,1493,337
2022-12-27 00:00:00+00:00,7,7,336,109
2022-12-28 00:00:00+00:00,9,9,165,56
2022-12-29 00:00:00+00:00,11,8,290,50
2022-12-30 00:00:00+00:00,15,12,183,55
2022-12-31 00:00:00+00:00,3,3,126,33
2023-01-01 00:00:00+00:00,7,7,112,26
2023-01-02 00:00:00+00:00,4,3,75,25
2023-01-03 00:00:00+00:00,12,8,120,41
2023-01-04 00:00:00+00:00,6,6,95,35
2023-01-05 00:00:00+00:00,17,16,161,46
2023-01-06 00:00:00+00:00,11,8,219,43
2023-01-07 00:00:00+00:00,7,5,99,23
2023-01-08 00:00:00+00:00,3,3,71,28
2023-01-09 00:00:00+00:00,11,9,151,33
2023-01-10 00:00:00+00:00,5,5,86,36
2023-01-11 00:00:00+00:00,13,11,152,31
2023-01-12 00:00:00+00:00,5,5,227,35
2023-01-13 00:00:00+00:00,5,5,211,45
2023-01-14 00:00:00+00:00,17,12,111,33
2023-01-15 00:00:00+00:00,5,5,142,30
2023-01-16 00:00:00+00:00,10,9,254,44
2023-01-17 00:00:00+00:00,10,9,194,39
2023-01-18 00:00:00+00:00,3,3,104,44
2023-01-19 00:00:00+00:00,9,7,154,48
2023-01-20 00:00:00+00:00,4,3,118,50
2023-01-21 00:00:00+00:00,6,4,34,19
2023-01-22 00:00:00+00:00,5,5,70,23
2023-01-23 00:00:00+00:00,50,8,101,23
2023-01-24 00:00:00+00:00,9,6,110,31
2023-01-25 00:00:00+00:00,5,3,269,24
2023-01-26 00:00:00+00:00,12,9,121,35
2023-01-27 00:00:00+00:00,8,5,152,25
2023-01-28 00:00:00+00:00,9,5,42,23
2023-01-29 00:00:00+00:00,13,7,85,24
2023-01-30 00:00:00+00:00,11,8,229,49
2023-01-31 00:00:00+00:00,24,18,836,203
2023-02-01 00:00:00+00:00,14,9,333,105
2023-02-02 00:00:00+00:00,16,11,219,85
2023-02-03 00:00:00+00:00,23,17,213,61
2023-02-04 00:00:00+00:00,17,10,172,51
2023-02-05 00:00:00+00:00,7,6,266,41
2023-02-06 00:00:00+00:00,6,6,109,48
2023-02-07 00:00:00+00:00,17,7,189,46
2023-02-08 00:00:00+00:00,14,10,266,58
2023-02-09 00:00:00+00:00,12,8,93,43
2023-02-10 00:00:00+00:00,6,6,221,49
2023-02-11 00:00:00+00:00,13,10,73,32
2023-02-12 00:00:00+00:00,8,8,214,41
2023-02-13 00:00:00+00:00,9,8,197,47
2023-02-14 00:00:00+00:00,10,7,145,48
2023-02-15 00:00:00+00:00,9,8,93,33
2023-02-16 00:00:00+00:00,9,8,148,36
2023-02-17 00:00:00+00:00,20,16,322,70
2023-02-18 00:00:00+00:00,6,6,172,38
2023-02-19 00:00:00+00:00,8,8,195,46
2023-02-20 00:00:00+00:00,23,16,174,48
2023-02-21 00:00:00+00:00,10,9,184,58
2023-02-22 00:00:00+00:00,14,11,309,58
2023-02-23 00:00:00+00:00,20,18,345,76
2023-02-24 00:00:00+00:00,22,17,218,64
2023-02-25 00:00:00+00:00,11,9,240,46
2023-02-26 00:00:00+00:00,14,10,198,38
2023-02-27 00:00:00+00:00,16,12,199,57
2023-02-28 00:00:00+00:00,16,14,199,58
2023-03-01 00:00:00+00:00,10,10,183,53
2023-03-02 00:00:00+00:00,18,11,207,40
2023-03-03 00:00:00+00:00,16,14,192,42
2023-03-04 00:00:00+00:00,8,7,136,32
2023-03-05 00:00:00+00:00,5,5,142,38
2023-03-06 00:00:00+00:00,13,11,400,74
2023-03-07 00:00:00+00:00,12,12,328,53
2023-03-08 00:00:00+00:00,19,17,269,64
2023-03-09 00:00:00+00:00,12,10,235,71
2023-03-10 00:00:00+00:00,10,10,296,35
2023-03-11 00:00:00+00:00,8,6,132,27
2023-03-12 00:00:00+00:00,8,8,171,32
2023-03-13 00:00:00+00:00,18,14,161,47
2023-03-14 00:00:00+00:00,18,16,249,50
2023-03-15 00:00:00+00:00,10,9,273,45
2023-03-16 00:00:00+00:00,11,8,215,51
2023-03-17 00:00:00+00:00,17,13,92,43
2023-03-18 00:00:00+00:00,6,6,114,30
2023-03-19 00:00:00+00:00,6,6,136,37
2023-03-20 00:00:00+00:00,10,8,291,58
2023-03-21 00:00:00+00:00,7,7,238,44
2023-03-22 00:00:00+00:00,11,10,227,49
2023-03-23 00:00:00+00:00,6,4,104,38
2023-03-24 00:00:00+00:00,14,13,110,41
2023-03-25 00:00:00+00:00,14,9,75,30
2023-03-26 00:00:00+00:00,10,8,201,46
2023-03-27 00:00:00+00:00,14,12,172,62
2023-03-28 00:00:00+00:00,13,11,270,55
2023-03-29 00:00:00+00:00,9,9,294,45
2023-03-30 00:00:00+00:00,15,12,172,55
2023-03-31 00:00:00+00:00,4,4,235,55
2023-04-01 00:00:00+00:00,6,6,217,30
2023-04-02 00:00:00+00:00,8,8,80,25
2023-04-03 00:00:00+00:00,17,16,204,50
2023-04-04 00:00:00+00:00,10,9,297,64
2023-04-05 00:00:00+00:00,12,11,106,44
2023-04-06 00:00:00+00:00,20,15,239,44
2023-04-07 00:00:00+00:00,4,4,287,43
2023-04-08 00:00:00+00:00,11,6,247,38
2023-04-09 00:00:00+00:00,7,6,159,34
2023-04-10 00:00:00+00:00,8,6,247,46
2023-04-11 00:00:00+00:00,14,10,131,40
2023-04-12 00:00:00+00:00,10,10,139,33
2023-04-13 00:00:00+00:00,12,12,142,42
2023-04-14 00:00:00+00:00,18,15,174,54
